Field,aveT_degC,PwrDens_MWperkm2
Ahuachapan,250,14.41251252
Alasehir,185,7.782423013
Amatitlán,285,7.692307692
Amedee,107,1.230769231
Bac-Man,269,10.20408163
Beowawe,215,7
Berlin,255,19.04748793
Bjarnarflag,300,1.217675569
Blue Mountain,185,7.277777778
Bouillante,250,9.273780826
Bradys,130,2.75
Bulalo,270,19.0843088
Cachaços-Lombadas ,228,8.666666667
Cerro Prieto,300,26.77777778
Chena Hot Springs,75,0.569620253
Coso,275,8.982035928
Darajat,245,19.60794604
Desert Peak,170,4.4
Dieng,290,9.035761198
Dixie Valley,230,17.51612903
Domo San Pedro,300,10.06539702
Don A. Campbell,129,29.84615385
East Mesa,145,2.827225131
Fang,130,0.251930827
Germencik,234,18.29151776
Geysers,240,11.64383562
Gunung Patuha,225,9.577522076
Hachijo-jima,300,2.5
Hatchobaru,270,41.66666667
Heber,170,11.44578313
Hellisheidi,290,19.25428133
Husavik,125,1.483006201
Kakkonda,285,11.42857143
Kamojang,245,21.13385725
Karaha,290,5.763955618
Kawerau,275,19.28505741
Kirchstockach,138,2.894736842
Kizildere,230,11.37371612
Krafla,270,10.88409581
Lahendong,280,18.41827985
Larderello,235,4.130434783
Las Pailas,245,9.512959773
Las Tres Virgenes,250,7.42920358
Lihir,220,15.83858962
Los Azufres,275,16.84210526
Los Humeros,340,7.607276871
Mahanagdong,270,8.571428571
Maibarara,300,10.29526556
Mammoth,170,11.6
Mataloko,240,2.325581395
Matsukawa,250,6.443433216
Miravalles,236,17.33333333
Mokai,295,30.43564121
Momotombo,220,9.553153561
Mori,245,8.041958615
Mt. Apo ,280,8.741258741
Mutnovsky,260,12.78094619
Neal Hot Springs,140,8.8
Nesjavellir,290,13.85597154
Ngatamariki,280,24.68434389
Ngawha,230,11.1118606
Ogiri,230,15.27241489
Oguni,225,0.875675964
Ohaaki,275,6.818181818
Olkaria,240,21.66666667
Onikobe,235,3.145553788
Onuma,225,3.63236597
Otake,210,10.6025744
Paisley,115,1.714285714
Palinpinon,300,12.5
Pamukoren,188,9.230769231
Pauzetksky,190,7.317042075
Piancastagnaio,328,7.446808511
Pico Alto,280,2.858325792
Pico Vermelho,235,4.423076923
Platanares,180,15.2
Puna,340,25.33333333
Raft River,135,3.896586694
Reykjanes,300,24.57478132
Roosevelt,245,13.2
Rotokawa,320,30.75293998
Salak,260,18.28150556
Salavatli,171,6.779661017
Salton Sea,300,28.125
San Emidio,135,5.846153846
San Jacinto,275,14.02926456
Sibayak,280,2.545288905
Silangkitang,300,41.82806439
Steamboat,145,3.472743139
Suginoi,210,1.25
Sumikawa,250,11.88239853
Svartsengi,240,28.39092616
Takigami,245,15.23502202
Tiwi,270,11.14196427
Tongonan,285,26.31578947
Travale,300,8.177083333
Tuscarora,172,16.55555556
Uenotai,310,5.806527255
Ulubelu,270,20.0840477
Ulumbu,235,8.941177317
Umurlu,175,4.321377423
Wairakei-Tauhara,275,26.98691598
Wayang Windu,250,14.48725471
Wineagle,110,0.538461538
Yamagawa,305,6.102604394
Yanaizu-Nishiyama,300,7.474570865
Yangbajain,175,3.007048054
Zunil,290,13.52941176
